,Lon,Lat,City nbr,City,wind,temp,humidity,clouds
282,57.339333515709825,31.65505873495647,282.0,ravar,2.59,72.04,10.0,76.0
290,-17.46123338537072,62.50391098968112,290.0,hofn,10.29,44.6,81.0,90.0
295,-101.51112652970151,51.01629300676362,295.0,langenburg,10.92,35.14,94.0,32.0
298,-2.6479839225665387,50.84148545129702,298.0,yeovil,12.75,67.64,68.0,48.0
299,135.70684960456674,68.50248893067268,299.0,batagay,3.2,25.69,78.0,68.0
303,120.57362083570939,-34.845672993059736,303.0,esperance,16.11,84.2,70.0,40.0
304,-82.07619140298623,-50.36043432008498,304.0,coihaique,6.93,52.39,62.0,40.0
313,42.23188526704712,-18.53321346543065,313.0,morondava,9.53,83.83,75.0,0.0
314,25.834115048816102,-41.698517627085224,314.0,kruisfontein,6.4,70.06,65.0,0.0
315,177.45044524450765,59.69976865104982,315.0,beringovskiy,12.37,23.26,88.0,44.0
317,-119.19992735718085,44.902635820897785,317.0,pendleton,5.82,57.76,47.0,1.0
319,166.16418665416603,-25.745729411548695,319.0,vao,15.95,50.71,59.0,36.0
320,56.173008809111735,39.07145497937921,320.0,gazanjyk,7.78,70.96,38.0,0.0
324,-58.5340827773926,21.93766930735532,324.0,codrington,5.06,62.23,100.0,92.0
327,-63.05828366424532,14.639984776070406,327.0,pointe michel,11.41,83.25,58.0,40.0
329,128.85061672186924,43.34773050707375,329.0,mingyue,4.61,45.13,95.0,92.0
330,-54.194207820957004,9.446333448731835,330.0,marienburg,8.05,69.8,37.0,0.0
331,-41.69039039690014,60.306975320242344,331.0,nanortalik,8.86,34.6,91.0,44.0
332,54.62271940845159,46.79997822092099,332.0,karaton,3.36,80.6,83.0,40.0
333,159.83894784668337,81.9112446361554,333.0,cherskiy,2.26,9.58,56.0,0.0
334,88.92097326796323,13.459256139098272,334.0,port blair,4.21,85.63,100.0,0.0
337,-76.57865315791072,45.68815749178839,337.0,shawville,4.05,41.17,54.0,0.0
340,-139.58421460935975,81.56706599299778,340.0,tuktoyaktuk,8.05,-13.09,75.0,20.0
343,30.07476521691777,39.500886645026895,343.0,kutahya,13.87,55.4,37.0,40.0
344,120.7270697264413,12.056756026397352,344.0,santa teresa,3.36,84.2,70.0,40.0
347,102.67335008165577,49.780948819259294,347.0,kholtoson,2.48,27.13,86.0,76.0
350,105.29965464193145,71.25831650347178,350.0,khatanga,19.04,25.06,87.0,88.0
351,9.435275458155274,6.48505381202817,351.0,wum,1.03,74.38,94.0,24.0
355,-134.25753615188307,52.972454493838,355.0,ketchikan,8.01,37.96,93.0,90.0
356,147.1034200814541,61.81945198410105,356.0,myaundzha,2.59,13.99,82.0,76.0
358,143.49283815829426,-42.166045901106855,358.0,burnie,10.36,60.52,100.0,64.0
359,130.3306559962034,-59.20307383053451,359.0,new norfolk,2.37,51.8,93.0,0.0
361,-47.41471560893169,-2.6459360165815866,361.0,paragominas,4.54,87.97,85.0,8.0
364,9.09847477721658,-3.620998092215075,364.0,gamba,1.86,18.94,76.0,44.0
368,118.42993775644146,25.175898919378113,368.0,ximei,2.71,71.6,94.0,40.0
369,30.388514719928367,60.11843016800489,369.0,bugry,22.37,41.0,86.0,90.0
374,43.909128869238685,68.04929725032883,374.0,kamenka,19.53,53.77,69.0,80.0
376,129.42983118741296,65.75230428408366,376.0,batagay-alyta,4.5,19.93,81.0,80.0
379,-155.05329072041397,-0.2604304024292219,379.0,faanui,5.21,81.76,100.0,36.0
380,-105.15614209354514,23.324480838885364,380.0,pueblo nuevo,2.82,74.02,52.0,64.0
387,-159.09644832234198,7.612612930729924,387.0,hilo,5.82,55.85,83.0,20.0
393,-49.74538831521576,1.4430657886295108,393.0,amapa,1.03,78.8,94.0,40.0
395,93.80026398460092,-4.151035626534451,395.0,padang,4.27,82.93,100.0,20.0
398,11.680834640359961,-0.37474338683654196,398.0,booue,2.37,88.87,62.0,8.0
400,160.19281434181818,-34.37013496047476,400.0,port macquarie,8.05,60.8,87.0,92.0
401,133.40631167220232,1.270762809794121,401.0,manokwari,5.99,79.15,100.0,68.0
402,163.1257956309355,-40.944211099806985,402.0,te anau,3.09,38.47,93.0,80.0
403,-45.69207852687657,84.92826678088494,403.0,upernavik,11.43,19.84,100.0,48.0
416,150.08956638284621,83.42357037701817,416.0,chokurdakh,3.09,12.91,78.0,76.0
417,-47.600238692827475,2.202968878347505,417.0,salinopolis,11.88,84.01,96.0,0.0
418,-45.20579399233014,48.92598952345668,418.0,torbay,21.92,39.2,77.0,75.0
420,17.99480274337543,-17.44050125686867,420.0,eenhana,3.36,91.4,29.0,0.0
421,65.11753051203385,-46.09903401004177,421.0,saint-philippe,11.41,44.15,45.0,1.0
425,110.92410621809103,42.02465621111904,425.0,hohhot,13.42,57.2,58.0,20.0
429,138.72979400210676,-47.20556001154116,429.0,portland,4.7,46.58,76.0,90.0
431,-86.00830998672656,2.249375933143085,431.0,san cristobal,12.75,57.2,76.0,75.0
432,-0.22938124218984512,70.3905567899944,432.0,raudeberg,5.82,48.76,87.0,92.0
433,161.43835210052657,-25.957248127841297,433.0,poya,6.89,75.64,100.0,24.0
436,168.33063188615927,-6.441785961996999,436.0,lata,1.52,45.67,84.0,0.0
439,110.74839853939051,-9.631855433820306,439.0,bambanglipuro,2.75,72.85,99.0,48.0
440,-132.79460211092047,57.55281840635203,440.0,juneau,2.04,30.2,100.0,75.0
441,119.64941702176606,25.621133035451976,441.0,rongcheng,10.13,54.94,95.0,92.0
443,165.44172105539502,68.84081899506788,443.0,bilibino,2.37,10.84,76.0,0.0
447,103.48117444441533,40.946026682946496,447.0,jinchang,4.88,49.72,54.0,8.0
448,38.06017716292547,27.625125413287293,448.0,tabuk,1.97,67.27,90.0,0.0
450,102.07997787487528,26.467452182032645,450.0,panzhihua,6.55,72.94,36.0,0.0
451,52.84288811354773,-23.952948034593348,451.0,saint-leu,5.73,79.66,78.0,75.0
459,-121.84524406339804,53.7982557260226,459.0,prince george,14.99,41.0,97.0,90.0
